database,exact_query,search_date,date_range,title,authors,year,venue_or_repository,doi_or_official_url,official_source_page,abstract_or_short_summary,source_type,label,label_reason,duplicate_or_version_status,retrieval_note
SpringerLink,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Balancing usefulness and naturalness: an LLM-based curation pipeline for code review comments,Oussama Ben Sghaier; Martin Weyssow; Houari Sahraoui,2026,Empirical Software Engineering,https://doi.org/10.1007/s10664-026-10928-x,https://link.springer.com/article/10.1007/s10664-026-10928-x,Presents an LLM-based curation pipeline centered on the competing quality goals of usefulness and naturalness in review comments.,Journal article,core,Directly addresses a central trade-off in code-review comment quality.,Related to the authors' earlier MSR 2025 curated-code-review paper; verify overlap during full-text deduplication.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
SpringerLink,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Formal Specification-Based Code Review via LLMs,Jiandong Li; Shaoying Liu,2026,"Theoretical Aspects of Software Engineering (TASE 2026), LNCS 16697",https://doi.org/10.1007/978-3-032-30693-7_11,https://link.springer.com/chapter/10.1007/978-3-032-30693-7_11,Evaluates LLM review against formal specifications on processed BuggyJava+JML programs and reports defect-detection recall.,Conference paper,core,Directly evaluates an LLM code-review method with grounded formal specifications.,First online 2026-07-02; Springer citation metadata assigns the proceedings copyright/citation year 2027.,Official record discovered through an official-domain indexed search because the native database result interface/count was not reproducibly accessible in this environment.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Evaluating LLMs for Code Review,Umut Cihan; Arda İçöz; Vahid Haratian; Eray Tüzün,2025,arXiv,https://doi.org/10.48550/arXiv.2505.20206,https://doi.org/10.48550/arXiv.2505.20206,Empirically evaluates LLMs on code-review tasks and compares model behavior and performance.,Preprint,core,Direct evaluation of LLM code-review capability.,Preprint; no verified version-of-record was established in this search.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Prompting and Fine-tuning Large Language Models for Automated Code Review Comment Generation,Md. Asif Haider; Ayesha Binte Mostofa; Sk. Sabit Bin Mosaddek; Anindya Iqbal; Toufique Ahmed,2024,arXiv,https://doi.org/10.48550/arXiv.2411.10129,https://doi.org/10.48550/arXiv.2411.10129,Compares prompting and fine-tuning strategies for automated review-comment generation.,Preprint,core,Direct model-strategy evaluation for generated review comments.,Preprint; no verified published version was established in this search.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,CRScore: Grounding Automated Evaluation of Code Review Comments in Code Claims and Smells,Atharva Naik; Marcus Alenius; Daniel Fried; Carolyn Rosé,2025,NAACL 2025 / arXiv,https://doi.org/10.48550/arXiv.2409.19801,https://doi.org/10.48550/arXiv.2409.19801,"Proposes a grounded metric for evaluating generated review comments using claims and code-smell evidence, with comparison to human judgments.",Conference paper / preprint,core,Direct automatic metric for grounded relevance and quality of review comments.,Preprint and NAACL 2025 publication represent the same work.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,Junyi Lu; Lei Yu; Xiaojia Li; Li Yang; Chun Zuo,2023,IEEE ISSRE 2023,https://doi.org/10.1109/ISSRE59848.2023.00026,https://doi.org/10.1109/ISSRE59848.2023.00026,Evaluates parameter-efficient LLaMA adaptation for automated code review.,Conference paper,core,Direct LLM code-review evaluation.,Duplicate of the IEEE Xplore record; IEEE version is the version of record.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,BitsAI-CR: Automated Code Review via LLM in Practice,Tao Sun; Jian Xu; Yuanpeng Li; Zhaodong Yan; Ge Zhang; Lintao Xie; Lu Geng; Zheng Wang; Yueyan Chen; Qinxiang Lin; Wenbo Duan; Kaixin Sui; Yuanshuo Zhu,2025,ACM FSE 2025,https://doi.org/10.1145/3696630.3728552,https://doi.org/10.1145/3696630.3728552,Industrial evaluation of a precision-filtered LLM review system with adoption-oriented metrics.,Conference paper,core,Direct production evaluation of generated review comments.,Duplicate of the ACM record; ACM publication is the version of record.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,SWR-Bench: Assessing LLM Performance in Real-World Code Review Comment Generation,Zhengran Zeng; Ruikai Shi; Keke Han; Yixin Li; Kaicheng Sun; Yidong Wang; Zhuohao Yu; Rui Xie; Wei Ye; Shikun Zhang,2026,ACM FSE 2026,https://doi.org/10.1145/3808144,https://doi.org/10.1145/3808144,Benchmark and objective evaluation method for real-world review-comment generation.,Journal/conference proceedings article,core,Direct benchmark for LLM review comments.,Duplicate of the ACM record; ACM publication is the version of record.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Fine-Tuning Large Language Models to Improve Accuracy and Comprehensibility of Automated Code Review,Yongda Yu; Guoping Rong; Haifeng Shen; He Zhang; Dong Shao; Min Wang; Zhao Wei; Yong Xu; Juhong Wang,2025,ACM TOSEM,https://doi.org/10.1145/3695993,https://doi.org/10.1145/3695993,Evaluates accuracy and comprehensibility of automated code reviews produced by a fine-tuned LLM.,Journal article,core,Direct evaluation of review accuracy and comprehensibility.,Duplicate of the ACM record; ACM journal article is the version of record.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,DeepCRCEval: Revisiting the Evaluation of Code Review Comment Generation,Junyi Lu; Xiaojia Li; Zihan Hua; Lei Yu; Shiqi Cheng; Li Yang; Fengjun Zhang; Chun Zuo,2025,FASE 2025,https://doi.org/10.1007/978-3-031-90900-9_3,https://doi.org/10.1007/978-3-031-90900-9_3,Multidimensional human- and LLM-based evaluation framework for generated review comments.,Conference paper,core,Direct review-comment evaluation framework.,Duplicate of the SpringerLink record; Springer chapter is the version of record.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Automated Code Review Using Large Language Models at Ericsson: An Experience Report,Shweta Ramesh; Joy Bose; Hamender Singh; A. K. Raghavan; Sujoy Roychowdhury; Giriprasad Sridhara; Nishrith Saini; Ricardo Britto,2025,IEEE ICSME 2025,https://doi.org/10.1109/ICSME64153.2025.00061,https://doi.org/10.1109/ICSME64153.2025.00061,Industrial experience and practitioner evaluation of an LLM-assisted review tool.,Conference experience report,core,Direct practitioner-based evaluation of LLM code review.,Duplicate of the IEEE record; IEEE publication is the version of record.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Improving Automated Code Reviews: Learning from Experience,Hong Yi Lin; Patanamon Thongtanunam; Christoph Treude; Wachiraphan Charoenwet,2024,MSR 2024,https://doi.org/10.1145/3643991.3644910,https://doi.org/10.1145/3643991.3644910,"Assesses experience-aware training-data oversampling against correctness, informativeness, and meaningfulness of generated reviews.",Conference paper,core,Direct evaluation of generated-review quality dimensions.,Duplicate of the ACM record; ACM/IEEE conference publication is the version of record.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
Semantic Scholar,"(""large language model"" OR LLM OR ""generative AI"" OR ""AI-assisted"") AND (""code review"" OR ""review comment"" OR ""pull request feedback"" OR ""automated code review"") AND (evaluation OR usefulness OR relevance OR actionability OR grounding OR hallucination OR context OR trust OR ""human-AI"" OR cost OR latency OR adoption OR mitigation)",2026-08-02,2021-01-01 to 2026-08-02,Too Noisy To Learn: Enhancing Data Quality for Code Review Comment Generation,Chunhua Liu; Hong Yi Lin; Patanamon Thongtanunam,2025,MSR 2025,https://doi.org/10.1109/MSR66628.2025.00043,https://doi.org/10.1109/MSR66628.2025.00043,Evaluates LLM-based semantic cleaning of review-comment datasets and resulting gains in relevance and informativeness.,Conference paper,core,Directly evaluates data-quality and comment-quality trade-offs.,Duplicate of the IEEE record; IEEE publication is the version of record.,Semantic Scholar's native API/result count was inaccessible; this record was verified through a Semantic Scholar indexed record and its DOI/arXiv or publisher metadata.
