rank,title,authors,publication_type,published_date,publication,doi,url,abstract_snippet
100,The Impact of LLM-Assistants on Software Developer Productivity: A Systematic Review and Mapping Study,Amr Mohamed; Maram Assi; Mariam Guizani,research-article,April 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3809494,https://dl.acm.org/doi/10.1145/3809494,"Large language model assistants (LLM-assistants) present new opportunities to transform software development. Developers are increasingly adopting these tools across tasks, including coding, testing, debugging, documentation, and design. Yet, despite ..."
101,DTM '25: Proceedings of the 2025 International Conference on Digital Transformation and Management,,proceeding,April 2026,,10.1145/3795546,https://dl.acm.org/doi/proceedings/10.1145/3795546,
102,LAK '26: Proceedings of the LAK26: 16th International Learning Analytics and Knowledge Conference,,proceeding,April 2026,,10.1145/3785022,https://dl.acm.org/doi/proceedings/10.1145/3785022,
103,ICAAI '25: Proceedings of the 2025 9th International Conference on Advances in Artificial Intelligence,,proceeding,April 2026,,10.1145/3787279,https://dl.acm.org/doi/proceedings/10.1145/3787279,
104,DEIT '26: Proceedings of the 2026 2nd International Conference on Digital Education and Information Technology,,proceeding,April 2026,,10.1145/3802607,https://dl.acm.org/doi/proceedings/10.1145/3802607,
105,One Size Does Not Fit All: Investigating Efficacy of Perplexity in Detecting LLM-Generated Code,Jinwei Xu; He Zhang; Yanjing Yang; Lanxin Yang; Zeru Cheng; Jun Lyu; Bohan Liu; Xin Zhou; Alberto Bacchelli; Yin Kia Chiam; Thiam Kian Chiew,research-article,April 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 5",10.1145/3748506,https://dl.acm.org/doi/10.1145/3748506,"Large Language Model-Generated Code (LLMgCode) has become increasingly common in software development. So far LLMgCode has more quality issues than Human-Authored Code (HaCode). It is common for LLMgCode to mix with HaCode in a code change, while the ..."
106,Commit Messages Generation Based on Core Changes,Yuan Huang; Zhicao Tang; Xiangping Chen; Changlin Yang; Zibin Zheng; Xiaocong Zhou,research-article,April 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 5",10.1145/3750039,https://dl.acm.org/doi/10.1145/3750039,"Commits messages play a crucial role in helping developers efficiently comprehend code modifications. Due to the time pressure of project iteration or poor message-writing practices, many commits suffer from missing messages. To address this issue, ..."
107,Autograder+: A Multi-Faceted AI Framework for Rich Pedagogical Feedback in Programming Education,Vikrant Sahu; Gagan Raj Gupta; Raghav Borikar; Nitin Gautam Mane,research-article,April 2026,CODS '25: Proceedings of the 13th ACM IKDD International Conference on Data Science,10.1145/3799830.3799878,https://dl.acm.org/doi/10.1145/3799830.3799878,"The rapid growth of programming education has outpaced traditional assessment tools, leaving faculty with limited means to provide meaningful, scalable feedback. Conventional autograders, while efficient, act as “black-box” systems that merely indicate ..."
108,CODS '25: Proceedings of the 13th ACM IKDD International Conference on Data Science,,proceeding,April 2026,,10.1145/3799830,https://dl.acm.org/doi/proceedings/10.1145/3799830,
109,ICAIE '25: Proceedings of the 2025 4th International Conference on Artificial Intelligence and Education,,proceeding,April 2026,,10.1145/3797552,https://dl.acm.org/doi/proceedings/10.1145/3797552,
110,ENCO: Deploying Production-Scale Engineering Copilots,Yiwen Zhu; Mathieu Demarne; Kai Deng; Wenjing Wang; Nutan Sahoo; Hannah Lerner; Anjali Bhavan; Divya Vermareddy; Yunlei Lu; Swati Bararia; William Zhang; Xia Li; Katherine Lin; Miso Cilimdzic; Subru Krishnan,research-article,April 2026,KDD '26: Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,10.1145/3770854.3783949,https://dl.acm.org/doi/10.1145/3770854.3783949,"Software engineers frequently grapple with the challenge of accessing fragmented documentation and telemetry data, such as Troubleshooting Guides (TSGs), incident reports, code repositories, and internal tools maintained by different teams. In this work, ..."
111,EmoRAG: Evaluating RAG Robustness to Symbolic Perturbations,Xinyun Zhou; Xinfeng Li; Yinan Peng; Ming Xu; Xuanwang Zhang; Miao Yu; Yidong Wang; Xiaojun Jia; Kun Wang; Qingsong Wen; XiaoFeng Wang; Wei Dong,research-article,April 2026,KDD '26: Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,10.1145/3770854.3780238,https://dl.acm.org/doi/10.1145/3770854.3780238,"Retrieval-Augmented Generation (RAG) systems are increasingly central to robust AI, enhancing large language model (LLM) faithfulness by incorporating external knowledge. However, our study unveils a critical, overlooked vulnerability: their profound ..."
112,Mining Player Experience Trends From Game Reviews Using Large Language Models,Supriya Dutta; Joel Oksanen; Jaakko Väkevä; Shamit Ahmed; Markus Kirjonen; Perttu Hämäläinen,research-article,April 2026,CHI '26: Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,10.1145/3772318.3790760,https://dl.acm.org/doi/10.1145/3772318.3790760,"How have player experiences changed over the years? For instance, have there been general shifts in what kinds of emotions players experience and express? We probe these questions with help of recent methodological advances in psychology and Large ..."
113,Campus AI vs. Commercial AI: Comparing How Students and Employees Perceive their University’s LLM Chatbot vs. ChatGPT,Leon Hannig; Annika Bush; Meltem Aksoy; Tim Trappen; Steffen Becker; Greta Ontrup,research-article,April 2026,CHI '26: Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,10.1145/3772318.3790622,https://dl.acm.org/doi/10.1145/3772318.3790622,"As the use of Large Language Model (LLM) chatbots by students and researchers becomes more prevalent, universities are pressed to develop AI strategies. One strategy that many universities pursue is to customize pre-trained LLM-as-a-service (LLMaaS) ..."
114,ST-Buddy: Designing and Evaluating a Course-Grounded LLM Chatbot for Academic and Administrative Support,Chrakhan Barzanji; Niclas Rosteck; Sebastian Eberl; Sebastian Rottmann; Claudia Loitsch,extended-abstract,April 2026,CHI EA '26: Proceedings of the Extended Abstracts of the 2026 CHI Conference on Human Factors in Computing Systems,10.1145/3772363.3798558,https://dl.acm.org/doi/10.1145/3772363.3798558,Understaffed universities and limited funding for tutors risk students’ disengagement due to missing assistance. HCI research increasingly focuses on conversational agents for scalable educational support. This paper presents a course-specific AI chatbot ...
115,Everyday Practitioner Experiences of AI-First Policies Adopted by U.S. Big Tech Companies,Kyung Jin Jeong; Zitao Zhang; Jingxin Dong; Andrea Chung; Patrick C. Shih,research-article,April 2026,CHI '26: Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,10.1145/3772318.3791271,https://dl.acm.org/doi/10.1145/3772318.3791271,"Many major U.S. tech companies have recently adopted an “AI-first” policy1, encouraging employees to complete routine tasks more efficiently. We examine how practitioners integrate AI into daily workflows through a mixed-methods study of 18 semi-..."
116,Where Will They Click Next? A Social Foraging Model for Collaborating Teams,Shahnewaz Leon; Sandeep Kaur Kuttal,research-article,April 2026,CHI '26: Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,10.1145/3772318.3791506,https://dl.acm.org/doi/10.1145/3772318.3791506,"Modern knowledge work is increasingly collaborative, especially in information-intensive domains such as crisis response, scientific discovery, and software engineering. Software engineering epitomizes these trends through practices like pair programming ..."
117,When Help Hurts: Verification Load and Fatigue with AI Coding Assistants,Guangrui Fan; Dandan Liu; Lihu Pan; Rui Zhang,research-article,April 2026,CHI '26: Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,10.1145/3772318.3791176,https://dl.acm.org/doi/10.1145/3772318.3791176,"AI coding assistants help, but developers still spend effort verifying model output. We isolate interface effects by holding a single LLM fixed while N = 60 participants solve three Python tasks with Inline, Chat, or Structured prompting, plus a no‑AI ..."
118,Who Does What? Archetypes of Roles Assigned to LLMs During Human-AI Decision-Making,Shreya Chappidi; Jatinder Singh; Andra Valentina Krauze,research-article,April 2026,CHI '26: Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,10.1145/3772318.3791428,https://dl.acm.org/doi/10.1145/3772318.3791428,"LLMs are increasingly supporting decision-making across high-stakes domains, requiring critical reflection on the socio-technical factors that shape how humans and LLMs are assigned roles and interact during human-in-the-loop decision-making. This paper ..."
119,"‹Programming› Companion '26: Companion Proceedings of the 10th International Conference on the Art, Science, and Engineering of Programming",Dirk Beyer,proceeding,April 2026,,10.1145/3801119,https://dl.acm.org/doi/proceedings/10.1145/3801119,
120,WSSE '25: Proceedings of the 2025 7th World Symposium on Software Engineering,,proceeding,April 2026,,10.1145/3779657,https://dl.acm.org/doi/proceedings/10.1145/3779657,
121,SIGUCCS '26: Proceedings of the 2026 ACM SIGUCCS Annual Conference,Robert Fricke; Becky Klein; Jeffrey Kontio,proceeding,March 2026,,10.1145/3737841,https://dl.acm.org/doi/proceedings/10.1145/3737841,
122,Ethical Prompt Engineering for AI-driven SE: Evidence-informed Interaction-time Governance Roadmap to 2030,Patrizio Migliarini; Marco Autili; Paola Inverardi; Patrizio Pelliccione,research-article,March 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3801980,https://dl.acm.org/doi/10.1145/3801980,"Background. As LLMs become a routine “interaction layer” inside software engineering toolchains, teams increasingly rely on prompts, retrieval scope, and lightweight checks to steer behavior without access to model internals, while still needing ..."
123,"Towards Secure MLOps: Surveying Attacks, Mitigation Strategies, and Research Challenges",Raj Patel; Himanshu Tripathi; Jasper Stone; Noorbakhsh Amiri Golilarz; Sudip Mittal; Shahram Rahimi; Vini Chaudhary,research-article,March 2026,"ACM Transactions on AI Security and Privacy (TAISAP), Just Accepted",10.1145/3796728,https://dl.acm.org/doi/10.1145/3796728,The rapid adoption of machine learning (ML) technologies has driven organizations across diverse sectors to seek efficient and reliable methods to accelerate model development-to-deployment. Machine Learning Operations (MLOps) has emerged as an ...
124,Security Analysis of Agentic AI Communication Protocols: A Comparative Evaluation,Yedidel Louck; Amit Dvir; Ariel Stulman,research-article,March 2026,"ACM Transactions on AI Security and Privacy (TAISAP), Just Accepted",10.1145/3803431,https://dl.acm.org/doi/10.1145/3803431,"Multi-agent systems (MAS) powered by artificial intelligence (AI) are increasingly foundational to complex, distributed workflows. Yet, the security of their underlying communication protocols remains critically under-examined. This paper presents the ..."
125,DSCode Comparator: An Interactive Interface for Comparing Models and Evaluating Code for Data Science Tasks,Xinxin Yu; Victor Zhong; Anamaria Crisan,research-article,March 2026,IUI '26: Proceedings of the 31st International Conference on Intelligent User Interfaces,10.1145/3742413.3789088,https://dl.acm.org/doi/10.1145/3742413.3789088,"Code-generating models are increasingly used to support data science tasks. Yet reviewing their outputs, both to understand how the code works and to assess its quality, remains largely manual and time-consuming. Instead of eliminating effort, these ..."
126,IUI '26: Proceedings of the 31st International Conference on Intelligent User Interfaces,Tsvi Kuflik; Styliani Kleanthous; Li Chen; Giulio Jaccuci; Alison Renner,proceeding,March 2026,,10.1145/3742413,https://dl.acm.org/doi/proceedings/10.1145/3742413,
127,ICSeB '25: Proceedings of the 2025 9th International Conference on Software and e-Business,,proceeding,March 2026,,10.1145/3789037,https://dl.acm.org/doi/proceedings/10.1145/3789037,
128,A Knowledge-Based Expert System for Software Methodology Selection using MCDM and Flow Entropy Sort Powered by Large Language Model,Moustafa F. Ali; Angie M. Ceniza-Canillo,research-article,March 2026,ICIT '25: Proceedings of the 13th International Conference on Information Technology: IoT and Smart City,10.1145/3787330.3787352,https://dl.acm.org/doi/10.1145/3787330.3787352,"Software development methodology selection remains a critical decision that significantly impacts project success rates, development efficiency, and team productivity, with traditional approaches relying heavily on expert judgment and static decision ..."
129,ICIT '25: Proceedings of the 13th International Conference on Information Technology: IoT and Smart City,,proceeding,March 2026,,10.1145/3787330,https://dl.acm.org/doi/proceedings/10.1145/3787330,
130,ACE '26: Proceedings of the 28th Australasian Computing Education Conference,Simon,proceeding,March 2026,,10.1145/3786228,https://dl.acm.org/doi/proceedings/10.1145/3786228,
131,IMPACT: Identifying and Classifying Multiple Sourced and Categorized Self-Admitted Technical Debts,Qingyuan Li; Zhixin Yin; Yaopeng Yang; Chuanyi Li; Zongwen Shen; Jidong Ge; Wenkang Zhong; Bin Luo; Vincent Ng,research-article,March 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 4",10.1145/3747180,https://dl.acm.org/doi/10.1145/3747180,"Self-Admitted Technical Debt (SATD) refers to sub-optimal solutions deliberately introduced to accelerate the software development process, often at the expense of software maintainability and sustainability. Therefore, timely identification and ..."
132,Surveying the Benchmarking Landscape of Large Language Models in Code Intelligence,Mohammad Abdollahi; Ruixin Zhang; Nima Shiri Harzevili; Jiho Shin; Song Wang; Hadi Hemmati,survey,March 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3800957,https://dl.acm.org/doi/10.1145/3800957,"Since the release of early Large Language Models (LLMs) such as GPT-2 and GPT-3 around 2020, rapid advancements in LLM capabilities have significantly impacted the field of code intelligence, enabling automation across a wide range of coding tasks, ..."
133,Large Language Model-Based Agents for Software Engineering: A Survey,Junwei Liu; Kaixin Wang; Yixuan Chen; Xin Peng; Zhenpeng Chen; Lingming Zhang; Yiling Lou,survey,March 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3796507,https://dl.acm.org/doi/10.1145/3796507,"The recent advance in Large Language Models (LLMs) has shaped a new paradigm of AI agents, i.e., LLM-based agents. Compared to standalone LLMs, LLM-based agents substantially extend the versatility and expertise of LLMs by enhancing LLMs with the ..."
134,A Multi-Dimensional Quality Evaluation of Code Generated by LLM-Based Tools Across Multiple Programming Languages,Ruimeng Li; Ran Mo; Yao Zeng; Zili Liu; Zengyang Li; Yutao Ma,research-article,March 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3800582,https://dl.acm.org/doi/10.1145/3800582,"Large Language Model (LLM)-based code generation tools have gained widespread adoption in software development. The code quality is an important concern that affects the practical usefulness of generated code suggestions. However, comprehensive ..."
135,Novice Developers’ Perspectives on Adopting LLMs for Software Development: A Systematic Literature Review,Samuel Ferino; Rashina Hoda; John Grundy; Christoph Treude,survey,March 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3800580,https://dl.acm.org/doi/10.1145/3800580,"Following the rise of large language models (LLMs), many studies have emerged in recent years focusing on exploring the adoption of LLM-based tools for software development by novice developers: computer science/software engineering students and early-..."
136,A Systematic Literature Review on Large Language Models for Automated Program Repair,Quanjun Zhang; Chunrong Fang; Yang Xie; Yuxiang Ma; Weisong Sun; Yun Yang; Zhenyu Chen,survey,March 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3799693,https://dl.acm.org/doi/10.1145/3799693,"Automated Program Repair (APR) attempts to patch software bugs and reduce manual debugging efforts. Very recently, with the advances in Large Language Models (LLMs), a rapidly increasing number of APR techniques have been proposed, significantly ..."
137,What Were You Thinking? An LLM-Driven Large-Scale Study of Refactoring Motivations in Open-Source Projects,Mikel Robredo; Matteo Esposito; Fabio Palomba; Rafael Peñaloza; Valentina Lenarduzzi,research-article,February 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3799717,https://dl.acm.org/doi/10.1145/3799717,"Context. Code refactoring improves software quality without changing external behavior. Despite its advantages, its benefits are hindered by the considerable cost of time, resources, and continuous effort it demands. Aim. Understanding why developers ..."
138,Vul-RAG: Enhancing LLM-based Vulnerability Detection via Knowledge-level RAG,Xueying Du; Geng Zheng; Kaixin Wang; Yi Zou; Yujia Wang; Wentai Deng; Jiayi Feng; Mingwei Liu; Bihuan Chen; Xin Peng; Tao Ma; Yiling Lou,research-article,February 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3797277,https://dl.acm.org/doi/10.1145/3797277,"Although LLMs have shown promising potential in vulnerability detection, this study reveals their limitations in distinguishing between vulnerable and similar-but-benign patched code (only 0.06 - 0.14 accuracy). It shows that LLMs struggle to capture the ..."
139,Enhanced Web Testing with LLMs: A Research Roadmap,Weizhe Wang; Zhenqi Guo; Qingyang Yan; Zenghao Yang; Yao Zhang; Guangquan Xu; Xiaoming Li; Bin Wu,research-article,February 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3795887,https://dl.acm.org/doi/10.1145/3795887,"With the rapid advancement of Large Language Models (LLMs), traditional web testing research faces increasingly severe challenges and higher demands. To advance web testing toward higher levels of intelligence and automation, it is essential to ..."
140,Separate Bombs from Firecrackers: Intention-guided Vulnerability Assessment via LLM,Hao Shen; Ming Hu; Xiaofei Xie; Jiaye Li; Mingsong Chen,research-article,February 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3797896,https://dl.acm.org/doi/10.1145/3797896,"Although modern vulnerability detection tools enable developers to efficiently identify numerous security flaws, indiscriminate remediation efforts often result in unnecessary development expenses. This is particularly true given that a substantial ..."
141,HCAIep '26: Proceedings of the 2026 Conference on Human Centred Artificial Intelligence - Education and Practice,,proceeding,February 2026,,10.1145/3777490,https://dl.acm.org/doi/proceedings/10.1145/3777490,
142,Understanding Open Source Contributor Profiles in Popular Machine Learning Libraries,Jiawen Liu; Haoxiang Zhang; Ying Zou,research-article,February 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 3",10.1145/3747347,https://dl.acm.org/doi/10.1145/3747347,"With the increasing popularity of machine learning (ML), many open source software (OSS) contributors are attracted to developing and adopting ML approaches. Comprehensive understanding of ML contributors is crucial for successful ML OSS development and ..."
143,The Rest of the Robots: Generative AI in Post-introductory Computing Education,Dennis J. Bouvier; Bruno Pereira Cipriano; Richard Glassey; Olga Petrovska; Emma Anderson; Anastasiia Birillo; Ryan Dougherty; Raymond Pettit; Nuno Pombo; Ebrahim Rahimi; Charanya Ramakrishnan; Alexander Steinmaurer; Shubbhi Taneja; Muhammad Usman; Annapurna Vadaparty,research-article,February 2026,ITiCSE-WGR 2025: Proceedings of the 2025 Working Group Reports on Innovation and Technology in Computer Science Education,10.1145/3760545.3783970,https://dl.acm.org/doi/10.1145/3760545.3783970,"Generative AI (GenAI) is playing an increasingly influential role in computing education across all levels, offering new opportunities to support both teaching and learning. However, its effective integration raises critical concerns related to trust, ..."
144,A Systematic Literature Review of Parameter-Efficient Fine-Tuning for Large Code Models,Saima Afrin; MD Zahidul Haque; Antonio Mastropaolo,research-article,February 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3796522,https://dl.acm.org/doi/10.1145/3796522,"The rise of Artificial Intelligence (AI)-and particularly Large Language Models (LLMs) for code–has reshaped Software Engineering (SE) by enabling the automation of tasks such as code generation, bug detection, and repair. However, these models require ..."
145,No More Hidden Pitfalls? Exposing Smart Contract Bad Practices with LLM-Powered Hybrid Analysis,Xiaoqi Li; Zongwei Li; Wenkai Li; Yuqing Zhang; Xin Wang,research-article,February 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3795692,https://dl.acm.org/doi/10.1145/3795692,"As the Ethereum platform continues to mature and gain widespread usage, it is crucial to maintain high standards of smart contract writing practices. While bad practices in smart contracts may not directly lead to security issues, they elevate the risk of ..."
146,A Research Roadmap for Augmenting Software Engineering Processes and Software Products with Generative AI,Domenico Amalfitano; Andreas Metzger; Marco Autili; Tommaso Fulcini; Tobias Hey; Jan Keim; Patrizio Pelliccione; Vincenzo Scotti; Anne Koziolek; Raffaela Mirandola; Andreas Vogelsang,research-article,January 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3788879,https://dl.acm.org/doi/10.1145/3788879,"Generative AI (GenAI) is rapidly transforming software engineering (SE) practices, influencing how SE processes are executed, as well as how software systems are developed, operated, and evolved. This paper applies design science research to build a ..."
147,PPoPP '26: Proceedings of the 31st ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming,Tony Hosking; Madan Musuvathi; Kenjiro Taura,proceeding,January 2026,,10.1145/3774934,https://dl.acm.org/doi/proceedings/10.1145/3774934,"Welcome to the 31st Annual ACM SIGPLAN Symposium on Principles and Prac- tice of Parallel Programming (PPoPP): the premier forum for leading work on all aspects of parallel and performance programming, including theoretical founda- tions, techniques, ..."
148,Developer Perspectives on Licensing and Copyright Issues Arising from Generative AI for Software Development,Trevor Stalnaker; Nathan Wintersgill; Oscar Chaparro; Laura A. Heymann; Massimiliano Di Penta; Daniel M. German; Denys Poshyvanyk,research-article,January 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 2",10.1145/3743133,https://dl.acm.org/doi/10.1145/3743133,"Despite the utility that Generative AI (GenAI) tools provide for tasks such as writing code, the use of these tools raises important legal questions and potential risks, particularly those associated with copyright law. As lawmakers and regulators ..."
149,A Survey on Large Language Models for Code Generation,Juyong Jiang; Fan Wang; Jiasi Shen; Sungju Kim; Sunghun Kim,survey,January 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 2",10.1145/3747588,https://dl.acm.org/doi/10.1145/3747588,"Large Language Models (LLMs) have garnered remarkable advancements across diverse code-related tasks, known as Code LLMs, particularly in code generation that generates source code with LLM from natural language descriptions. This burgeoning field has ..."
150,Bipartite-Grammar–Aware Pretraining for XML-SQL Code Updating,Qingyuan Liang; Zeyu Sun; Yifan Zhao; Zhihao Gong; Guoqing Wang; Yizhou Chen; Lu Zhang; Guangtai Liang; Qianxiang Wang,research-article,January 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 35, Issue 2",10.1145/3731752,https://dl.acm.org/doi/10.1145/3731752,"The eXtensible Markup Language (XML) is a file format widely used for data transmission in modern software development. In recent years, embedding SQL statements in XML files (i.e., XML-SQL) has become a popular way for developing applications with ..."
151,DECS '25: Proceedings of the 2025 2nd International Conference on Digital Economy and Computer Science,,proceeding,January 2026,,10.1145/3785706,https://dl.acm.org/doi/proceedings/10.1145/3785706,
152,FIRE '25: Proceedings of the 17th annual meeting of the Forum for Information Retrieval Evaluation,Surupendu Gangopadhyay; Debasis Ganguly; Debarshi Kumar Sanyal,proceeding,January 2026,,10.1145/3777867,https://dl.acm.org/doi/proceedings/10.1145/3777867,
153,Inclusive Design of AI’s Explanations: Just for Those Previously Left Out?,Md Montaser Hamid; Fatima A. Moussaoui; Jimena Noa Guevara; Andrew Anderson; Puja Agarwal; Jonathan Dodge; Margaret Burnett,research-article,January 2026,"ACM Transactions on Interactive Intelligent Systems (TIIS), Volume 16, Issue 1",10.1145/3772074,https://dl.acm.org/doi/10.1145/3772074,"Abstract Motivations. Explainable AI (XAI) systems aim to improve users’ understanding of AI, but XAI research has shown that many XAI explanations serve some users well while failing others. In non-AI systems, software practitioners have used inclusive ..."
154,Towards More Accurate App Review Response Generation with Fine-Grained Filtering,Zhengquan Li; Yao Li; Tao Zhang; Cuiyun Gao; Zishuo Ding,research-article,January 2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Just Accepted",10.1145/3786790,https://dl.acm.org/doi/10.1145/3786790,App reviews serve as one of the essential information sources and decision-making bases for developers in the process of software maintenance. Timely and proactive responses to app reviews can effectively enhance user experience for apps and improve the ...
155,Human-Like Remembering and Forgetting in LLM Agents: An ACT-R-Inspired Memory Architecture,Yudai Honda; Yuki Fujita; Keiichi Zempo; Shogo Fukushima,research-article,January 2026,HAI '25: Proceedings of the 13th International Conference on Human-Agent Interaction,10.1145/3765766.3765803,https://dl.acm.org/doi/10.1145/3765766.3765803,This study explores the implementation of human-like memory behavior in language agents by integrating the ACT-R cognitive architecture with large language models (LLMs). We designed a dialogue agent capable of dynamically retrieving and forgetting ...
156,HAI '25: Proceedings of the 13th International Conference on Human-Agent Interaction,Hirotaka Osawa; Helena Lindgren; Aaron Steinfeld; Mary Ellen Foster; Shogo Okada; Haiyi Zhu,proceeding,January 2026,,10.1145/3765766,https://dl.acm.org/doi/proceedings/10.1145/3765766,
157,Revisiting the Capability of GPT in Solving Coding Problems: A Lesson from Programming with Recursion,Fei Zuo; Gang Qian; Xianshan Qu; Junghwan Rhee; Jicheng Fu,research-article,December 2025,SIGCITE '25: Proceedings of the 26th ACM Annual Conference on Cybersecurity & Information Technology Education,10.1145/3769694.3771150,https://dl.acm.org/doi/10.1145/3769694.3771150,"Generative AI models, especially those based on Generative Pre-trained Transformer (GPT), are shown to be capable of providing solutions to coding exercises. However, it is unclear whether such ability stems from its genuine possessing of programming ..."
158,SIGCITE '25: Proceedings of the 26th ACM Annual Conference on Cybersecurity & Information Technology Education,Markus Geissler; Barry Lunt,proceeding,December 2025,,10.1145/3769694,https://dl.acm.org/doi/proceedings/10.1145/3769694,
159,Improved Labeling of Security Defects in Code Review by Active Learning with LLMs,Johannes Härtel,research-article,December 2025,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3756681.3756986,https://dl.acm.org/doi/10.1145/3756681.3756986,"Mining high-quality datasets of security defects is important for cybersecurity. In this paper, we focus on mining a dataset of reviews that discuss potential security defects in code or other artifacts. Mining such datasets often involves labeling, and ..."
160,On Simulation-Guided LLM-based Code Generation for Safe Autonomous Driving Software,Ali Nouri; Johan Andersson; Kailash De Jesus Hornig; Zhennan Fei; Emil Knabe; Hakan Sivencrona; Beatriz Cabrero-Daniel; Christian Berger,research-article,December 2025,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3756681.3756987,https://dl.acm.org/doi/10.1145/3756681.3756987,"Automated Driving System (ADS) is a safety-critical software system responsible for the interpretation of the vehicle’s environment and making decisions accordingly. The unbounded complexity of the driving context, including unforeseeable events, ..."
161,Large Language Models as Robust Data Generators in Software Analytics: Are We There Yet?,Md. Abdul Awal; Mrigank Rochan; Chanchal K. Roy,research-article,December 2025,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3756681.3756985,https://dl.acm.org/doi/10.1145/3756681.3756985,"Large Language Model (LLM)-generated data is increasingly used in software analytics, but it is unclear how this data compares to human-written data, particularly when models are exposed to adversarial scenarios. Adversarial attacks can compromise the ..."
162,Towards Automated Detection of Inline Code Comment Smells,Ipek Oztas; U. Boran Torun; Eray Tüzün,research-article,December 2025,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3756681.3756988,https://dl.acm.org/doi/10.1145/3756681.3756988,"Background: Code comments are important in software development because they directly influence software maintainability and overall quality. Bad practices of code comments lead to code comment smells, negatively impacting software maintenance. Recent ..."
163,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?,Jianian Gong; Nachuan Duan; Ziheng Tao; Zhaohui Gong; Yuan Yuan; Minlie Huang,research-article,December 2025,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3756681.3756984,https://dl.acm.org/doi/10.1145/3756681.3756984,"The rapid advancement of large language models (LLMs) such as GPT-4 has revolutionized the landscape of software engineering, positioning these models at the core of modern development practices. To fully realize their potential in producing secure source ..."
164,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,Muhammad Ali Babar; Ayşe Tosun; Stefan Wagner; Viktoria Stray,proceeding,December 2025,,10.1145/3756681,https://dl.acm.org/doi/proceedings/10.1145/3756681,
165,Do Automatic Comment Generation Techniques Fall Short? Exploring the Influence of Method Dependencies on Code Understanding,Md Mustakim Billah; Md Shamimur Rahman; Banani Roy,research-article,December 2025,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3756681.3756977,https://dl.acm.org/doi/10.1145/3756681.3756977,"Method-level comments are critical for improving code comprehension and supporting software maintenance. With advancements in large language models (LLMs), automated comment generation has become a major research focus. However, existing approaches often ..."
