Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Enhancing Software Defect Prediction in Ansible Scripts Using Code-Smell-Guided Prompting with Large Language Models in Edge-Cloud Infrastructures,Current Trends in Web Engineering,,,,10.1007/978-3-031-75110-3_3,Hyunsun HongSungu LeeDuksan RyuJongmoon Baik,2025,https://link.springer.com/chapter/10.1007/978-3-031-75110-3_3,Conference paper
Key Techniques for Writing Effective Prompts,The Essential Guide to Prompt Engineering,,,,10.1007/978-3-031-86206-9_3,Vladimir Geroimenko,2025,https://link.springer.com/chapter/10.1007/978-3-031-86206-9_3,Chapter
Generative AI in Business Unlocking Value,Enterprise Guide for Implementing Generative AI and Agentic AI,,,,10.1007/979-8-8688-1603-1_2,Shakuntala Gupta EdwardRahul BhattacharyaVikas Sinha,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1603-1_2,Chapter
"Safety, Testing, and Maintenance",Natural Language Generation,,,,10.1007/978-3-031-68582-8_6,Ehud Reiter,2025,https://link.springer.com/chapter/10.1007/978-3-031-68582-8_6,Chapter
AI for the Future of HR,The Microsoft AI Human Resources Handbook,,,,10.1007/979-8-8688-1781-6_10,Ana Inés Urrutia de Souza,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1781-6_10,Chapter
Review of&#xa0;Path Planning and&#xa0;Decision-Making in&#xa0;Automated Penetration Testing,Cyberspace Simulation and Evaluation,,,,10.1007/978-981-96-4506-0_3,Chencong ZhengHui LuJin PengXun HuangRui GaoJieyao XueXinge ZhangYouyu LiuHaonan ZhangZhouyang Liu,2025,https://link.springer.com/chapter/10.1007/978-981-96-4506-0_3,Conference paper
Deep Learning Techniques for Enhancing the Efficiency of Security Patch Development,Advances in Computer Science and Ubiquitous Computing,,,,10.1007/978-981-96-5693-6_31,Zeinab ShahbaziMeshkat Mesbah,2025,https://link.springer.com/chapter/10.1007/978-981-96-5693-6_31,Conference paper
Coding Agents,Agentic Design Patterns,,,,10.1007/978-3-032-01402-3_28,Antonio Gullí,2025,https://link.springer.com/chapter/10.1007/978-3-032-01402-3_28,Chapter
MAF-CPR: LLM-Based Multi-agent Framework for Complex Pull Request Review in GitHub,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-95-0020-8_21,Fanyu HanJiaheng PengWei WangXiaoya Xia,2025,https://link.springer.com/chapter/10.1007/978-981-95-0020-8_21,Conference paper
Method,Pipeline for Automated Code Generation from Backlog Items (PACGBI),,,,10.1007/978-3-658-47208-5_4,Mahja Sarschar,2025,https://link.springer.com/chapter/10.1007/978-3-658-47208-5_4,Chapter
ChatDEOB: An Effective Deobfuscation Method Based on&#xa0;Large Language Model,Information Security Applications,,,,10.1007/978-981-96-1624-4_12,Byunggeon ChoiHongjoo JinDong Hoon LeeWonsuk Choi,2025,https://link.springer.com/chapter/10.1007/978-981-96-1624-4_12,Conference paper
AI-Assisted Programming with&#xa0;Test-Based Refinement,Bridging the Gap Between AI and Reality,,,,10.1007/978-3-031-73741-1_24,Bernhard K. AichernigKlaus Havelund,2025,https://link.springer.com/chapter/10.1007/978-3-031-73741-1_24,Conference paper
Opportunities and Impacts of GenAI,Generative AI with SAP and Amazon Bedrock,,,,10.1007/979-8-8688-0968-2_3,Miguel Figueiredo,2025,https://link.springer.com/chapter/10.1007/979-8-8688-0968-2_3,Chapter
Secure Code Generation with&#xa0;CodeT5: Leveraging Large Language Models and&#xa0;CVE Dataset,Information Systems for Intelligent Systems,,,,10.1007/978-981-96-1206-2_4,Ganesh S. NayakAnirudha RaoB. L. Siddhartha BhatSanjana Ganesh NayakMamatha BalachandraOm PrakashVarinder Pratap Singh,2025,https://link.springer.com/chapter/10.1007/978-981-96-1206-2_4,Conference paper
AI in Microservices Development,AI and Microservices,,,,10.1007/979-8-8688-1306-1_3,Dileep Kumar PandiyaNilesh Charankar,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1306-1_3,Chapter
Leveraging LLM to Detect and Correct Vulnerabilities in&#xa0;Code,Computational Science and Computational Intelligence,,,,10.1007/978-3-031-95127-5_24,Ilmaan ZiaMuhammad Abdul Basit Ur RahimAnkit RajShahid Hussain,2025,https://link.springer.com/chapter/10.1007/978-3-031-95127-5_24,Conference paper
Advanced Prompting Techniques,Agentic Design Patterns,,,,10.1007/978-3-032-01402-3_22,Antonio Gullí,2025,https://link.springer.com/chapter/10.1007/978-3-032-01402-3_22,Chapter
Towards an understanding of large language models in software engineering tasks,Empirical Software Engineering,,,,10.1007/s10664-024-10602-0,Zibin ZhengKaiwen NingQingyuan ZhongJiachi ChenWenqing ChenLianghong GuoWeicheng WangYanlin Wang,2024,https://link.springer.com/article/10.1007/s10664-024-10602-0,Article
"Deep learning-based software engineering: progress, challenges, and opportunities",Science China Information Sciences,,,,10.1007/s11432-023-4127-5,Xiangping ChenXing HuYuan HuangHe JiangWeixing JiYanjie JiangYanyan JiangBo LiuHui LiuXiaochen LiXiaoli LianGuozhu MengXin PengHailong SunLin ShiBo WangChong WangJiayi WangTiantian WangJifeng XuanXin XiaYibiao YangYixin YangLi ZhangYuming ZhouLu Zhang,2024,https://link.springer.com/article/10.1007/s11432-023-4127-5,Article
Explainable automated debugging via large language model-driven scientific debugging,Empirical Software Engineering,,,,10.1007/s10664-024-10594-x,Sungmin KangBei ChenShin YooJian-Guang Lou,2024,https://link.springer.com/article/10.1007/s10664-024-10594-x,Article
Artificial intelligence for system security assurance: A systematic literature review,International Journal of Information Security,,,,10.1007/s10207-024-00959-0,Shao-Fang WenAnkur ShuklaBasel Katt,2024,https://link.springer.com/article/10.1007/s10207-024-00959-0,Article
Named Entity Recognition for Code Review Comments,Programming and Computer Software,,,,10.1134/S0361768824700233,V. V. KachanovA. S. KhitrovaS. I. Markov,2024,https://link.springer.com/article/10.1134/S0361768824700233,Article
The impact of a large language model-based programming learning environment on students’ motivation and programming ability,Education and Information Technologies,,,,10.1007/s10639-024-13107-x,Seongyune ChoiHyeoncheol Kim,2024,https://link.springer.com/article/10.1007/s10639-024-13107-x,Article
"History, development, and principles of large language models: an introductory survey",AI and Ethics,,,,10.1007/s43681-024-00583-7,Zichong WangZhibo ChuThang Viet DoanShiwen NiMin YangWenbin Zhang,2024,https://link.springer.com/article/10.1007/s43681-024-00583-7,Article
Deep learning for code generation: a survey,Science China Information Sciences,,,,10.1007/s11432-023-3956-3,Huangzhao ZhangKechi ZhangZhuo LiJia LiJia LiYongmin LiYunfei ZhaoYuqi ZhuFang LiuGe LiZhi Jin,2024,https://link.springer.com/article/10.1007/s11432-023-3956-3,Article
Evaluating the quality of student-generated content in learnersourcing: A large language model based approach,Education and Information Technologies,,,,10.1007/s10639-024-12851-4,Kangkang LiChengyang QianXianmin Yang,2024,https://link.springer.com/article/10.1007/s10639-024-12851-4,Article
Cross-project defect prediction via semantic and syntactic encoding,Empirical Software Engineering,,,,10.1007/s10664-024-10495-z,Siyu JiangYuwen ChenZhenhang HeYunpeng ShangLe Ma,2024,https://link.springer.com/article/10.1007/s10664-024-10495-z,Article
A novel automated framework for fine-grained sentiment analysis of application reviews using deep neural networks,Automated Software Engineering,,,,10.1007/s10515-024-00444-x,Haochen ZouYongli Wang,2024,https://link.springer.com/article/10.1007/s10515-024-00444-x,Article
Enhancing Security Awareness and Education for LLMs,Large Language Models in Cybersecurity,,,,10.1007/978-3-031-54827-7_18,Sebastiano Panichella,2024,https://link.springer.com/chapter/10.1007/978-3-031-54827-7_18,Chapter
Analysing the Role of Generative AI in Software Engineering - Results from an MLR,"Systems, Software and Services Process Improvement",,,,10.1007/978-3-031-71139-8_11,Tuomas BazzanBenjamin OlojoPrzemysław MajdaThomas KellyMurat YilmazGerard MarksPaul M. Clarke,2024,https://link.springer.com/chapter/10.1007/978-3-031-71139-8_11,Conference paper
Towards Minimal Edits in&#xa0;Automated Program Repair: A Hybrid Framework Integrating Graph Neural Networks and&#xa0;Large Language Models,Artificial Neural Networks and Machine Learning – ICANN 2024,,,,10.1007/978-3-031-72344-5_27,Zhenyu XuVictor S. Sheng,2024,https://link.springer.com/chapter/10.1007/978-3-031-72344-5_27,Conference paper
Generative AI for Software Development: A Family of Studies on Code Generation,Generative AI for Effective Software Development,,,,10.1007/978-3-031-55642-5_7,Arghavan Moradi DakhelAmin NikanjamFoutse KhomhMichel C. DesmaraisHironori Washizaki,2024,https://link.springer.com/chapter/10.1007/978-3-031-55642-5_7,Chapter
"Complementing Robotic Process Automation with Generative Artificial Intelligence (ChatGPT), Case of Robocorp",Advances in Information and Communication,,,,10.1007/978-3-031-53960-2_4,Julia SiderskaSuraya Nabilah Binti Mohd AiniDamian Kedziora,2024,https://link.springer.com/chapter/10.1007/978-3-031-53960-2_4,Conference paper
"Large Language Model Assisted Software Engineering: Prospects, Challenges, and&#xa0;a&#xa0;Case Study",Bridging the Gap Between AI and Reality,,,,10.1007/978-3-031-46002-9_23,Lenz BelznerThomas GaborMartin Wirsing,2024,https://link.springer.com/chapter/10.1007/978-3-031-46002-9_23,Conference paper
Understanding Machine Learning,AI Integration in Software Development and Operations,,,,10.1007/979-8-8688-1044-2_2,Abhinav Krishna KaiserVamshi Meda,2024,https://link.springer.com/chapter/10.1007/979-8-8688-1044-2_2,Chapter
Empowering Ethical AI Through Radical Transparency,Radical Therapy for Software Development Teams,,,,10.1007/979-8-8688-0187-7_7,Gregory LindMaryna Mishchenko,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0187-7_7,Chapter
Grading Documentation with&#xa0;Machine Learning,Artificial Intelligence in Education,,,,10.1007/978-3-031-64302-6_8,Marcus MesserMiaojing ShiNeil C. C. BrownMichael Kölling,2024,https://link.springer.com/chapter/10.1007/978-3-031-64302-6_8,Conference paper
Evaluating Privacy Patterns Within Collaborative Frameworks for AI Ecosystem Development,Navigating Unpredictability: Collaborative Networks in Non-linear Worlds,,,,10.1007/978-3-031-71739-0_13,Lukas WaidelichMarian LambertThomas Schuster,2024,https://link.springer.com/chapter/10.1007/978-3-031-71739-0_13,Conference paper
User Story Based Automated Test Case Generation Using NLP,Computational Intelligence in Data Science,,,,10.1007/978-3-031-69982-5_12,Arunkumar ChinnaswamyB. A. SabarishR. Deepak Menan,2024,https://link.springer.com/chapter/10.1007/978-3-031-69982-5_12,Conference paper
The Use of&#xa0;Large Language Model in&#xa0;Code Review Automation: An Examination of&#xa0;Enforcing SOLID Principles,Artificial Intelligence in HCI,,,,10.1007/978-3-031-60615-1_6,Gustavo F. MartinsEmiliandro C. M. FirminoVinicius P. De Mello,2024,https://link.springer.com/chapter/10.1007/978-3-031-60615-1_6,Conference paper
Research Design Canvas,Qualitative Research with Socio-Technical Grounded Theory,,,,10.1007/978-3-031-60533-8_4,Rashina Hoda,2024,https://link.springer.com/chapter/10.1007/978-3-031-60533-8_4,Chapter
Vulnerabilities Introduced by LLMs Through Code Suggestions,Large Language Models in Cybersecurity,,,,10.1007/978-3-031-54827-7_9,Sebastiano Panichella,2024,https://link.springer.com/chapter/10.1007/978-3-031-54827-7_9,Chapter
A Code Analysis Tool to&#xa0;Help Students in&#xa0;the&#xa0;Age of&#xa0;Generative AI,Technology Enhanced Learning for Inclusive and Equitable Quality Education,,,,10.1007/978-3-031-72312-4_31,Daniel-Florin DosaruDiana-Maria SimionAndrei-Horia IgnatLorina-Cristina NegreanuAlexandru-Corneliu Olteanu,2024,https://link.springer.com/chapter/10.1007/978-3-031-72312-4_31,Conference paper
Exploring Architectural Design Decisions in&#xa0;Mailing Lists and&#xa0;Their Traceability to&#xa0;Issue Trackers,Software Architecture,,,,10.1007/978-3-031-70797-1_20,Mohamed Soliman,2024,https://link.springer.com/chapter/10.1007/978-3-031-70797-1_20,Conference paper
Large Language Models for SoC Security,Hardware Security,,,,10.1007/978-3-031-58687-3_6,Mark TehranipoorKimia Zamiri AzarNavid AsadizanjaniFahim RahmanHadi Mardani KamaliFarimah Farahmandi,2024,https://link.springer.com/chapter/10.1007/978-3-031-58687-3_6,Chapter
Harnessing Generative AI for Product Innovation,Generative AI For Executives,,,,10.1007/979-8-8688-0950-7_6,Ahmed BouzidPaolo NarcisoWeiye Ma,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0950-7_6,Chapter
ChatGPT for SOC Analysts,Jump-start Your SOC Analyst Career,,,,10.1007/979-8-8688-0345-1_8,Tyler WallJarrett Rodrick,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0345-1_8,Chapter
Leveraging on&#xa0;Generative AI to&#xa0;Teach Undergraduate Software Engineering: A&#xa0;Collaborative Prompt Catalogue,Proceedings of TEEM 2023,,,,10.1007/978-981-97-1814-6_12,Juanan PereiraJuan Miguel LópezMaider AzanzaÓscar DíazXabier Garmendia,2024,https://link.springer.com/chapter/10.1007/978-981-97-1814-6_12,Conference paper
Software development in the age of intelligence: embracing large language models with the right approach,Frontiers of Information Technology & Electronic Engineering,,,,10.1631/FITEE.2300537,Xin Peng,2023,https://link.springer.com/article/10.1631/FITEE.2300537,Article
LM4HPC: Towards Effective Language Model Application in&#xa0;High-Performance Computing,"OpenMP: Advanced Task-Based, Device and Compiler Programming",,,,10.1007/978-3-031-40744-4_2,Le ChenPei-Hung LinTristan VanderbruggenChunhua LiaoMurali EmaniBronis de Supinski,2023,https://link.springer.com/chapter/10.1007/978-3-031-40744-4_2,Conference paper
Deploying Stochastic Systems,MLOps Lifecycle Toolkit,,,,10.1007/978-1-4842-9642-4_7,Dayne Sorvisto,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9642-4_7,Chapter
Prompting Large Language Models to&#xa0;Power Educational Chatbots,Advances in Web-Based Learning – ICWL 2023,,,,10.1007/978-981-99-8385-8_14,Juan Carlos FarahSandy IngramBasile SpaenlehauerFanny Kim-Lan LasneDenis Gillet,2023,https://link.springer.com/chapter/10.1007/978-981-99-8385-8_14,Conference paper
"TriCo—Triple Co-piloting of&#xa0;Implementation, Specification and&#xa0;Tests","Leveraging Applications of Formal Methods, Verification and Validation. Verification Principles",,,,10.1007/978-3-031-19849-6_11,Wolfgang AhrendtDilian GurovMoa JohanssonPhilipp Rümmer,2022,https://link.springer.com/chapter/10.1007/978-3-031-19849-6_11,Conference paper
